trace_id,endpoint,is_correct,structural_stability,n_bonds,n_entropy_points,initial_entropy,final_entropy,covalent_ratio,hydrogen_ratio,vdw_ratio
39bde75b-44af-4d54-89ea-fad2bd47150b,cyp2c9_veith,True,3.815887270458518e-20,210,210,-0.0,1.4249583711401237,0.2714285714285714,0.1761904761904762,0.5523809523809524
3f50422d-1bd7-48bd-90a4-a796b192692c,cyp2c9_veith,False,5.05751991430393e-17,325,325,-0.0,1.166412572816131,0.16923076923076924,0.12615384615384614,0.7046153846153846
45d1b161-ee00-49b0-afce-51b7ae31a9f7,cyp2c9_veith,True,1.1001905980629869e-21,171,171,-0.0,1.5003247515500893,0.21637426900584794,0.29239766081871343,0.49122807017543857
486d06ac-fbe2-42c2-a4fc-efad1d334cd7,cyp2c9_veith,False,1.290604675851095e-20,300,300,-0.0,1.0582741989496856,0.08,0.18,0.74
487270e1-fefe-43b7-9e19-254006e9226a,cyp2c9_veith,False,2.6161031549391673e-17,300,300,-0.0,1.330595000717011,0.17333333333333334,0.20333333333333334,0.6233333333333333
4b263678-724a-4a28-9d53-e23800ea78bd,cyp2c9_veith,False,3.584821301849136e-24,210,210,-0.0,1.4888976012690676,0.2,0.3047619047619048,0.49523809523809526
4efa9977-5621-4e8e-8896-59b8d5f121ee,cyp2c9_veith,True,3.1288161147416427e-18,253,253,-0.0,1.3830230397649295,0.1541501976284585,0.26877470355731226,0.5770750988142292
4f6483bc-bc5a-4263-bcf2-1f5c72b9ec35,cyp2c9_veith,False,3.9043517126161674e-21,276,276,-0.0,1.3421032570237306,0.15942028985507245,0.22826086956521738,0.6123188405797102
5037d76a-1cca-4b93-b1ab-65e404676ac3,cyp2c9_veith,True,1.3281535991833052e-20,300,300,-0.0,1.3439579528929324,0.22,0.16666666666666666,0.6133333333333333
50c73f84-c039-4d46-ba0e-3705d0688cdb,cyp2c9_veith,True,1.7032780536302841e-19,210,210,-0.0,1.2657475218740748,0.12380952380952381,0.22857142857142856,0.6476190476190476
5602ed83-0d0a-4011-9dee-1162878d6e8b,cyp2c9_veith,True,1.0446301052999815e-22,253,253,-0.0,1.2401392786505232,0.1541501976284585,0.17391304347826086,0.6719367588932806
567b80b2-1a6e-4cb7-9a0b-733eefba6086,cyp2c9_veith,True,4.550427380353434e-23,210,210,-0.0,1.370296063492194,0.19047619047619047,0.20952380952380953,0.6
591ac136-842b-4410-84b4-628bf9c3cce4,cyp2c9_veith,True,3.598055753832182e-21,210,210,-0.0,1.4146599568384035,0.2857142857142857,0.1619047619047619,0.5523809523809524
5cc37b73-11a1-4699-88ae-7e6a4ff8a4fa,cyp2c9_veith,True,9.064929246222198e-22,253,253,-0.0,1.3797373745953678,0.15019762845849802,0.2727272727272727,0.5770750988142292
5e1048d8-57e5-4131-ba36-3ad6063a5439,cyp2c9_veith,True,5.0518154401907175e-25,253,253,-0.0,1.3387442741438271,0.14624505928853754,0.2450592885375494,0.6086956521739131
5ea5c55f-ce99-42b4-81f1-0f33fce1fb16,cyp2c9_veith,True,1.7443485340748376e-17,171,171,-0.0,1.4071623750280449,0.27485380116959063,0.16374269005847952,0.5614035087719298
61300a73-d39d-4aa7-8bec-7913b2dfa514,cyp2c9_veith,False,6.643669792357389e-24,153,153,-0.0,1.5128468009973877,0.2222222222222222,0.3006535947712418,0.477124183006536
615c03f2-498d-4839-a8f5-cfd76e33bb9a,cyp2c9_veith,True,1.0552838422189468e-21,171,171,-0.0,1.2727898609159252,0.1871345029239766,0.15789473684210525,0.6549707602339181
638c342e-62bf-4cde-ba0a-bb88c934c8cb,cyp2c9_veith,True,4.239971802192429e-23,300,300,-0.0,1.330595000717011,0.20333333333333334,0.17333333333333334,0.6233333333333333
63aef33c-61c0-4c22-84b9-67a72fc45fce,cyp2c9_veith,True,3.0365462291478195e-23,253,253,-0.0,1.353733503495861,0.14624505928853754,0.25691699604743085,0.5968379446640316
64929109-af96-4186-81f8-2d77c632ca0d,cyp2c9_veith,True,3.64989670589592e-23,300,300,-0.0,1.375226174036907,0.21333333333333335,0.19,0.5966666666666667
6aa4a5d6-43f7-4166-8d10-0470ed27fba2,cyp2c9_veith,True,5.305595862763057e-22,276,276,-0.0,1.3401258727786063,0.15579710144927536,0.2318840579710145,0.6123188405797102
6e294346-c6aa-4f94-95b2-0bb8c8ff4e03,cyp2c9_veith,False,7.486487193151933e-20,300,300,-0.0,1.2661984045041614,0.24666666666666667,0.11333333333333333,0.64
72136e4e-873b-4f84-9ff8-86a54920caab,cyp2c9_veith,True,8.815706104230927e-18,231,231,-0.0,1.3319225422851646,0.19480519480519481,0.18181818181818182,0.6233766233766234
721edbe0-a5f0-4091-9b93-c6e226c9cad3,cyp2c9_veith,True,8.208638473508826e-21,171,171,-0.0,1.4417806768802688,0.21052631578947367,0.23976608187134502,0.5497076023391813
74c74c3c-eeb6-4083-8dce-ebb12eac774e,cyp2c9_veith,True,7.151817157557252e-25,253,253,-0.0,1.4138101031296884,0.19367588932806323,0.23715415019762845,0.5691699604743083
7b1e77ac-73f0-4ea7-9434-200a28d1258f,cyp2c9_veith,True,7.9941429751822e-20,171,171,-0.0,1.502114204383667,0.2631578947368421,0.23976608187134502,0.49707602339181284
7b8b9722-49c7-496c-9773-8f6eb0322f7c,cyp2c9_veith,True,2.1530024057959043e-21,253,253,-0.0,1.1619356211035106,0.13043478260869565,0.16205533596837945,0.7075098814229249
